N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1425.0,KODEX 최소변동성,10435.0,0.0,0.00%,0.0,10435.0,10435.0,10435.0
1426.0,TIGER 배당성장,16035.0,10.0,+0.06%,0.0,15960.0,16035.0,15950.0
1427.0,신한 인버스 콩 선물 ETN(H),6245.0,5.0,-0.08%,0.0,6240.0,6245.0,6240.0
1428.0,메리츠 인버스 2X 미국채10년 ETN(H),12470.0,35.0,+0.28%,0.0,12470.0,12470.0,12470.0
1429.0,ARIRANG 200선물인버스2X,6225.0,75.0,+1.22%,0.0,6250.0,6280.0,6220.0
1430.0,TRUE 인버스 금 선물 ETN,12415.0,0.0,0.00%,0.0,12415.0,12415.0,12415.0
1431.0,QV 레버리지 구리 선물 ETN(H),12405.0,0.0,0.00%,0.0,12405.0,12405.0,12405.0
1432.0,FOCUS ESG리더스,9915.0,65.0,-0.65%,0.0,9880.0,9915.0,9880.0
1433.0,대신 S&P 인버스 WTI원유 선물 ETN,12365.0,550.0,+4.66%,0.0,12390.0,12390.0,12330.0
1434.0,하나 레버리지 구리 선물 ETN(H),12360.0,0.0,0.00%,0.0,12360.0,12360.0,12360.0
1435.0,메리츠 인버스 2X 대표 농산물 선물 ETN(H),12315.0,140.0,+1.15%,0.0,12285.0,12325.0,12285.0
1436.0,삼성 레버리지 구리 선물 ETN(H),12280.0,220.0,-1.76%,0.0,12265.0,12300.0,12235.0
1437.0,삼양사우,33150.0,50.0,-0.15%,5000.0,33150.0,33150.0,33150.0
1438.0,ARIRANG 국채선물10년,50130.0,150.0,-0.30%,0.0,50230.0,50230.0,50130.0
1439.0,메리츠 레버리지 구리 선물 ETN(H),12215.0,395.0,-3.13%,0.0,12215.0,12215.0,12215.0
1440.0,KODEX 200exTOP,11100.0,0.0,0.00%,0.0,11100.0,11100.0,11100.0
1441.0,KODEX 구리선물(H),6420.0,35.0,-0.54%,0.0,6425.0,6425.0,6390.0
1442.0,신한 인버스 옥수수 선물 ETN(H),6050.0,10.0,-0.17%,0.0,6050.0,6055.0,6050.0
1443.0,신한 달러인덱스 선물 ETN(H),12090.0,0.0,0.00%,0.0,12090.0,12090.0,12090.0
1444.0,TIGER 글로벌사이버보안INDXX,11140.0,65.0,+0.59%,0.0,11075.0,11145.0,11075.0
1445.0,ARIRANG iSelect우주항공&UAM,10935.0,120.0,-1.09%,0.0,11040.0,11105.0,10875.0
1446.0,KBSTAR 미국장기국채선물인버스(H),9230.0,20.0,+0.22%,0.0,9225.0,9235.0,9225.0
1447.0,TIGER LG그룹+펀더멘털,8950.0,65.0,-0.72%,0.0,8950.0,8950.0,8925.0
1448.0,KOSEF 코스닥150,5640.0,0.0,0.00%,0.0,5590.0,5640.0,5590.0
1449.0,삼성 인버스 코스피 200 선물 ETN,11930.0,110.0,+0.93%,0.0,11945.0,11945.0,11930.0
1450.0,신한 인버스 은 선물 ETN(H),5965.0,90.0,+1.53%,0.0,5960.0,5965.0,5960.0
1451.0,TRUE 인버스 HSCEI ETN(H) B,11855.0,0.0,0.00%,0.0,11855.0,11855.0,11855.0
1452.0,SK증권우,3025.0,20.0,+0.67%,500.0,3000.0,3025.0,3000.0
1453.0,삼성 인버스 구리 선물 ETN(H),11750.0,55.0,+0.47%,0.0,11765.0,11765.0,11750.0
1454.0,SOL 유럽탄소배출권선물S&P(H),13045.0,690.0,-5.02%,0.0,13060.0,13060.0,13035.0
1455.0,KODEX KRX300레버리지,11740.0,195.0,-1.63%,0.0,11765.0,11770.0,11720.0
1456.0,메리츠 인버스 2X 국채10년 ETN,11720.0,70.0,+0.60%,0.0,11675.0,11720.0,11675.0
1457.0,메리츠 대표 농산물 선물 ETN(H),11715.0,0.0,0.00%,0.0,11715.0,11715.0,11715.0
1458.0,KINDEX 글로벌브랜드TOP10블룸버그,10635.0,70.0,-0.65%,0.0,11100.0,11100.0,10620.0
1459.0,에셋플러스 코리아플랫폼액티브,6490.0,25.0,-0.38%,0.0,6490.0,6490.0,6470.0
1460.0,KODEX 미국스마트모빌리티S&P,7300.0,100.0,-1.35%,0.0,7310.0,7310.0,7300.0
1461.0,메리츠 인버스 구리 선물 ETN(H),11660.0,0.0,0.00%,0.0,11660.0,11660.0,11660.0
1462.0,ARIRANG 고배당주채권혼합,10530.0,50.0,-0.47%,0.0,10565.0,10565.0,10530.0
1463.0,TIGER 일본TOPIX헬스케어(합성),11460.0,105.0,-0.91%,0.0,11505.0,11505.0,11460.0
1464.0,TRUE 유로스탁스50 양매도 5% OTM ETN(H),11440.0,0.0,0.00%,0.0,11440.0,11440.0,11440.0
1465.0,TIGER MSCI KOREA ESG유니버설,9510.0,0.0,0.00%,0.0,9510.0,9510.0,9510.0
1466.0,TRUE 레버리지 은 선물 ETN,11390.0,290.0,-2.48%,0.0,11365.0,11390.0,11345.0
1467.0,KBSTAR 차이나HSCEI(H),8135.0,0.0,0.00%,0.0,8135.0,8135.0,8135.0
1468.0,하나 인버스 코스닥150 선물 ETN,11350.0,80.0,+0.71%,0.0,11360.0,11360.0,11350.0
1469.0,미래에셋 레버리지 은 선물 ETN,11340.0,330.0,-2.83%,0.0,11340.0,11340.0,11340.0
1470.0,WOORI AI ESG액티브,8085.0,80.0,-0.98%,0.0,8105.0,8105.0,8085.0
1471.0,삼성 인버스 코스닥 150 선물 ETN,11315.0,40.0,+0.35%,0.0,11395.0,11395.0,11300.0
1472.0,KOSEF 고배당,8045.0,30.0,-0.37%,0.0,8055.0,8055.0,8010.0
1473.0,메리츠 인버스 미국채10년 ETN(H),11230.0,0.0,0.00%,0.0,11230.0,11230.0,11230.0
